                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8958,                 4.4752,                 2.3822,                0.00197,                0.08056,                0.00284,                0.00134,                 2.4827,                 4.5586,                 2.1239,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 2.7043,                 4.3234,                 2.3032,                0.00195,                0.08056,                0.00259,                0.00116,                 2.5494,                 4.5025,                 2.1873,              9.669e-05,              9.669e-05,              9.669e-05
                      3,                 2.6325,                  4.358,                 2.2573,                0.00129,                0.05278,                0.00231,                0.00128,                 2.3546,                 4.4371,                 2.0213,             0.00014527,             0.00014527,             0.00014527
                      4,                  2.575,                 4.3354,                 2.1444,                0.00127,                0.05278,                0.00247,                0.00074,                 2.2529,                 4.4222,                 1.9189,             0.00019019,             0.00019019,             0.00019019
                      5,                 2.4571,                 4.3015,                   2.16,                 0.0012,                0.05278,                0.00154,                0.00061,                 2.2304,                 4.4233,                 1.8694,             0.00023144,             0.00023144,             0.00023144
                      6,                 2.4046,                 4.2465,                  2.094,                0.00115,                0.05278,                0.00199,                0.00078,                 2.2502,                 4.3973,                 1.8683,             0.00026903,             0.00026903,             0.00026903
